"Código do IBGE";"Código do Município";"Município";"Estado";"Ano de Referência";"Prestadores";"Serviços";"Natureza Jurídica";"POP_TOT - População total do município (Fonte: IBGE):";"POP_URB - População urbana do município (Fonte: IBGE)";"AG001 - População total atendida com abastecimento de água";"ES001 - População total atendida com esgotamento sanitário";"CO014 - População urbana atendida com serviço de coleta de RDO";"IN015_AE - Índice de coleta de esgoto";"IN016_AE - Índice de tratamento de esgoto";"IN024_AE - Índice de atendimento urbano de esgoto referido aos municípios atendidos com água"
2402006;240200;Caicó;RN;2022;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24020040] PREFEITURA MUNICIPAL DE CAICÓ - PMC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;61.146;;59.015;15.437;;22,13;91,35;;
2402006;240200;Caicó;RN;2021;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24020040] PREFEITURA MUNICIPAL DE CAICÓ - PMC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;68.726;62.974;68.726;15.433;;22,72;100,00;24,51;
2402006;240200;Caicó;RN;2020;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;68.343;62.624;68.343;15.436;;24,33;100,00;24,65;
2402006;240200;Caicó;RN;2019;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;Sociedade de economia mista com administração pública;67.952;62.265;67.952;14.061;;16,34;100,00;22,48;
;240200;Caicó;RN;2018;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;67.554;61.901;67.551;5.737;;9,28;100,00;9,27;
;240200;Caicó;RN;2017;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN;Água e Esgoto | Res. Sólidos;;68.222;62.513;52.562;5.748;;7,42;100,00;9,15;
;240200;Caicó;RN;2016;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN;Água e Esgoto | Res. Sólidos;;67.747;62.077;67.459;5.797;;7,20;100,00;9,34;
;240200;Caicó;RN;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN;Água e Esgoto | Res. Sólidos;;67.259;61.630;61.630;5.683;;7,15;100,00;9,22;
;240200;Caicó;RN;2014;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN;Água e Esgoto | Res. Sólidos;;66.759;61.172;66.754;5.660;;7,05;100,00;9,25;
;240200;Caicó;RN;2013;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN;Água e Esgoto | Res. Sólidos;;66.246;60.702;66.246;5.476;;6,75;100,00;9,01;
